Row.names	log2FoldChange	logCPM	F	pvalue	padj	external_gene_name	description
ENSMUSG00000000031	0.368039219862935	0.5940277667536	2.06881278847524	0.150886026297313	0.280489530876034	H19	H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]
ENSMUSG00000000058	0.486074406393753	2.16509556101482	11.7509051761838	0.000651923851630327	0.00213963939848186	Cav2	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
ENSMUSG00000000131	0.19999587987752	9.32793628667541	44.9953667225229	4.7590663018411e-11	3.3308537543217e-10	Xpo6	exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]
ENSMUSG00000000148	-0.263073659506101	6.95264714342364	43.7619962262761	8.53880423038445e-11	5.84320398801915e-10	Brat1	BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]
ENSMUSG00000000149	0.269983832190515	9.09883431253566	81.40462645165	2.78310274595129e-18	3.22201329886587e-17	Gna12	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]
ENSMUSG00000000154	0.201570866675931	-2.75508439744292	0.0179842819408475	0.893366383752857	0.939023566851674	Slc22a18	solute carrier family 22 (organic cation transporter), member 18 [Source:MGI Symbol;Acc:MGI:1336884]
ENSMUSG00000000182	0.0863548139932925	-1.80090480252251	0.0131214652858286	0.908842875928183	0.946616070244491	Fgf23	fibroblast growth factor 23 [Source:MGI Symbol;Acc:MGI:1891427]
ENSMUSG00000000183	1.96600015267937	-3.05461189401514	0.986898325353649	0.320923639087063	0.475616993394923	Fgf6	fibroblast growth factor 6 [Source:MGI Symbol;Acc:MGI:95520]
ENSMUSG00000000184	-0.12570797375633	12.7292334843361	16.0538298615428	6.97134072183647e-05	0.000260692669360267	Ccnd2	cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]
ENSMUSG00000000214	0.623019972971827	-2.0545342428814	0.507169940571726	0.476657234949055	0.617566092898588	Th	tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735]
ENSMUSG00000000215	0.977226684038139	-2.84814476949445	0.341619909282075	0.559126378679603	0.688227299781063	Ins2	insulin II [Source:MGI Symbol;Acc:MGI:96573]
ENSMUSG00000000216	0.174299506072849	-2.94770602806444	0.00884235668622712	0.925115268337287	0.94669223851056	Scnn1g	sodium channel, nonvoltage-gated 1 gamma [Source:MGI Symbol;Acc:MGI:104695]
ENSMUSG00000000244	-0.628289844045993	-1.75512511552635	0.702475368623877	0.402303663505615	0.541073218412864	Tspan32	tetraspanin 32 [Source:MGI Symbol;Acc:MGI:1350360]
ENSMUSG00000000248	0.619502087850693	-2.05465246080469	0.497769218312694	0.480769492443445	0.621269598319979	Clec2g	C-type lectin domain family 2, member g [Source:MGI Symbol;Acc:MGI:1918059]
ENSMUSG00000000399	-0.270246513651734	8.33237483696712	74.8365854642164	5.18624368475005e-17	5.59237536724004e-16	Ndufa9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9 [Source:MGI Symbol;Acc:MGI:1913358]
ENSMUSG00000000416	0.311197260597252	6.77173943723688	56.2139743281967	2.49408501433696e-13	2.06395456327199e-12	Cttnbp2	cortactin binding protein 2 [Source:MGI Symbol;Acc:MGI:1353467]
ENSMUSG00000000420	-0.207170539065972	9.06528755908403	47.7350310101707	1.30584794043591e-11	9.45271726476147e-11	Galnt1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 [Source:MGI Symbol;Acc:MGI:894693]
ENSMUSG00000000439	-0.182387691446013	6.37875129492556	15.676146219236	8.46519059671052e-05	0.000312920468148495	Mkrn2	makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]
ENSMUSG00000000440	-1.01990255276869	0.858751283787589	17.7494549702438	2.92786833332255e-05	0.000114094050729647	Pparg	peroxisome proliferator activated receptor gamma [Source:MGI Symbol;Acc:MGI:97747]
ENSMUSG00000000441	-0.0969002234816633	9.39471607682685	10.5724201022498	0.00121549332681486	0.00382408114592613	Raf1	v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847]
ENSMUSG00000000486	0.813531254504238	3.70969975933414	81.698932232663	2.44307226897358e-18	2.83320953868445e-17	Sept1	septin 1 [Source:MGI Symbol;Acc:MGI:1858916]
ENSMUSG00000000544	-2.21826866225486	-0.872886196745217	16.04085865858	7.01794077582377e-05	0.000262145290526765	Gpa33	glycoprotein A33 (transmembrane) [Source:MGI Symbol;Acc:MGI:1891703]
ENSMUSG00000000560	0.10822163244879	2.11272589491997	0.560908714195623	0.454202549446319	0.596589766134874	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2 [Source:MGI Symbol;Acc:MGI:95614]
ENSMUSG00000000568	-0.104905799874616	9.92438790372351	11.8574654249539	0.000616377996849223	0.00203185355275358	Hnrnpd	heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]
ENSMUSG00000000600	0.0604738540332676	7.52725653309054	2.94651919812341	0.0866047419203931	0.175554951862777	Krit1	KRIT1, ankyrin repeat containing [Source:MGI Symbol;Acc:MGI:1930618]
